"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","Abstract","Language of Original Document"
"Zhan K.; Yang H.; Li J.; Zhao G.; Wang B.; Zhang J.","Zhan, Kaixuan (57207358733); Yang, Hui (57109468100); Li, Jun (57194400444); Zhao, Guanliang (57215056590); Wang, Bohui (57211254965); Zhang, Jie (55720473000)","57207358733; 57109468100; 57194400444; 57215056590; 57211254965; 55720473000","Demonstration of Intent Defined Optical Network: Toward Artificial Intelligence-Based Optical Network Automation","2020","10.1109/IWCMC48107.2020.9148441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089706778&doi=10.1109%2fIWCMC48107.2020.9148441&partnerID=40&md5=11d66322f3e9ffc32fbe9f85e0972f7a","State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China; 504 Research Institutes, China Aerospace Science and Technology Corporation, Xi'an, China","Zhan K., State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China; Yang H., State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China; Li J., 504 Research Institutes, China Aerospace Science and Technology Corporation, Xi'an, China; Zhao G., State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China; Wang B., State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China; Zhang J., State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunication, Beijing, China","We demonstrate a novel intent defined optical network (IDON) platform that introduces self-adapted generation and optimization (SAGO) policy, utilizing closed-loop policy generation and closed-loop intent guarantee to achieve zero-touch operation of optical network. © 2020 IEEE.","English"
"Banerjee A.; Mwanje S.S.; Carle G.","Banerjee, Anubhab (57217445356); Mwanje, Stephen S. (55532732200); Carle, Georg (11441022800)","57217445356; 55532732200; 11441022800","Trust and Performance in Future AI-Enabled, Open, Multi-Vendor Network Management Automation","2023","10.1109/TNSM.2022.3214296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139864356&doi=10.1109%2fTNSM.2022.3214296&partnerID=40&md5=d6064557650915e8a6ce05bca899d786","Nokia Standards, Department of Architecture, Security and Automation, Munich, 81541, Germany; Technical University of Munich, Department of Informatics, Munich, 80333, Germany","Banerjee A., Nokia Standards, Department of Architecture, Security and Automation, Munich, 81541, Germany, Technical University of Munich, Department of Informatics, Munich, 80333, Germany; Mwanje S.S., Nokia Standards, Department of Architecture, Security and Automation, Munich, 81541, Germany; Carle G., Technical University of Munich, Department of Informatics, Munich, 80333, Germany","Cognitive Autonomous Networks (CAN) promise to advance Self Organizing Networks (SON) by applying artificial intelligence to significantly raise the degree of automation in mobile networks. In CAN, Cognitive Functions (CFs) learn the optimal configuration parameter values to optimize specific network metrics, with the execution coordinated via a controller. In open, multi-vendor systems however, the CF's learning ability may raise a new risk: a manipulative CF (MCF) may learn not only its objective, but also to manipulate the coordination system in pursuit of that objective. In this paper we propose and evaluate our proposed functionality, called CoDeRa, that neutralizes manipulative CF behavior. However, although CoDeRa is effective against MCFs, it is inadequate to resolving error propagation in CF coordination, caused by corrupted network data, for which we have proposed an alternate simpler and cost efficient network management architecture. Our evaluation shows that the proposed design is robust against the observed concerns, and in context of ongoing worldwide standardization efforts, we summarize the relevance and implications of our proposed architecture.  © 2004-2012 IEEE.","English"
"Banerjee A.; Mwanje S.S.; Carle G.","Banerjee, Anubhab (57217445356); Mwanje, Stephen S. (55532732200); Carle, Georg (11441022800)","57217445356; 55532732200; 11441022800","Contradiction Management in Intent-driven Cognitive Autonomous RAN","2022","10.23919/IFIPNetworking55013.2022.9829768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136299343&doi=10.23919%2fIFIPNetworking55013.2022.9829768&partnerID=40&md5=c2f188d2497965c028023ea5ad5f10c2","Nokia Bell Labs, Munich, Germany; Technical University of Munich, Dept. of Informatics, Germany","Banerjee A., Nokia Bell Labs, Munich, Germany, Technical University of Munich, Dept. of Informatics, Germany; Mwanje S.S., Nokia Bell Labs, Munich, Germany; Carle G., Technical University of Munich, Dept. of Informatics, Germany","Intent Based Networks (IBN) is a prominent feature in the design of the AI-enabled B5G networks. Intents are primarily used to transform the intention of a human operator into network configuration, operation, and maintenance strategies. Although IBN provides future network automation technologies, it also raises the risk of contradiction(s) in an intent which arises during the runtime and cannot be predicted or resolved beforehand. In this paper we propose a new design which helps to detect and remove contradiction(s) in the optimal way during the runtime and evaluate it. We evaluate our proposed solution in a simulation environment and also provide a brief overview of standardization impact of our work to show that it conforms with the worldwide mobile network standardization efforts.  © 2022 IFIP.","English"
"Zanbouri K.; Noor-A-Rahim M.; John J.; Sreenan C.J.; Poor H.V.; Pesch D.","Zanbouri, Kouros (57212168473); Noor-A-Rahim, Md. (56102801300); John, Jobish (57224642806); Sreenan, Cormac J. (7004298391); Poor, H. Vincent (59132297200); Pesch, Dirk (6603467436)","57212168473; 56102801300; 57224642806; 7004298391; 59132297200; 6603467436","A Comprehensive Survey of Wireless Time-Sensitive Networking (TSN): Architecture, Technologies, Applications, and Open Issues","2024","10.1109/COMST.2024.3486618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207877669&doi=10.1109%2fCOMST.2024.3486618&partnerID=40&md5=a1f387ecf05c56b3488dd580eb2ad568","University College Cork, School of Computer Science and IT, Ireland; Eindhoven University of Technology, Netherlands; Princeton University, Department of Electrical and Computer Engineering, United States","Zanbouri K., University College Cork, School of Computer Science and IT, Ireland; Noor-A-Rahim M., University College Cork, School of Computer Science and IT, Ireland; John J., Eindhoven University of Technology, Netherlands; Sreenan C.J., University College Cork, School of Computer Science and IT, Ireland; Poor H.V., Princeton University, Department of Electrical and Computer Engineering, United States; Pesch D., University College Cork, School of Computer Science and IT, Ireland","Time-sensitive networking (TSN) is expected to be a key component of critical machine-type communication networks in areas such as Industry 4.0, robotics and autonomous vehicles. With rising mobility requirements in industrial applications and the prevalence of wireless networks, wireless network integration into TSN is becoming increasingly important. This survey article presents a comprehensive review of the current literature on wireless TSN, including an overview of the architecture of a wireless TSN network and an examination of the various wireless technologies and protocols that can be or are used in such networks. In addition, the article discusses industrial applications of wireless TSN, among them industrial automation, robotics, and autonomous vehicles. The article concludes by summarizing the challenges and open issues related to the integration of TSN into wireless networks, and by offering suggestions for future research directions.  © 1998-2012 IEEE.","English"
"Ding S.; Li J.; Wu Y.; Wang D.; Zhang M.","Ding, Shengyi (59223623400); Li, Jin (58664050900); Wu, Yonghan (58109877900); Wang, Danshi (55819507100); Zhang, Min (57221262062)","59223623400; 58664050900; 58109877900; 55819507100; 57221262062","Transnet: A High-accuracy Network Delay Prediction Model via Transformer and GNN in 6G","2024","10.1109/WCNC57260.2024.10571101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198852210&doi=10.1109%2fWCNC57260.2024.10571101&partnerID=40&md5=b7603f22cfe42ce22f1368e0811a26cb","Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China","Ding S., Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China; Li J., Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China; Wu Y., Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China; Wang D., Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China; Zhang M., Beijing University Of Posts And Telecommunications (BUPT), State Key Laboratory Of Information Photonics And Optical Communications, Beijing, China","In future 6G, bounded delay, ultra-high-reliability, and dedicated services will require high-performance network modeling techniques for the accuracy pre-validation such as network delay prediction. Recently, graph neural networks (GNNs) have been shown great potential for network delay prediction. GNNs are able to effectively capture complex topologies and node features in graph data by recursively aggregating the neighborhood information of nodes. To improve the ability to learn representations of graph data, GNNs are suitable for a variety of complex network modeling tasks with high flexibility and powerful scalability. However, the current GNN-based Routenet model can not capture the effect of the path on neighboring links, which is ineffective in complex topologies. To model the effects of the network path on neighboring links, this paper proposes a transformer-based GNN model named Transnet. In this model, the Transformer is first introduced to update the path and link states and describe the effects of the path on neighboring links based on the attention mechanism in the Transformer. Simulation results show that the delay prediction accuracy of the proposed Transnet obviously exceeds those of Routenet on multi-node topology in the Nsfnet and Synth50 datasets.  © 2024 IEEE.","English"
"Almeida G.M.; Bruno G.Z.; Huff A.; Hiltunen M.; Duarte E.P., Jr.; Both C.B.; Cardoso K.V.","Almeida, Gabriel Matheus (57350135100); Bruno, Gustavo Zanatta (57350256200); Huff, Alexandre (57207980315); Hiltunen, Matti (7004918593); Duarte, Elias Procopio (7005169293); Both, Cristiano Bonato (24823769500); Cardoso, Kleber Vieira (6603155158)","57350135100; 57350256200; 57207980315; 7004918593; 7005169293; 24823769500; 6603155158","RIC-O: Efficient Placement of a Disaggregated and Distributed RAN Intelligent Controller With Dynamic Clustering of Radio Nodes","2024","10.1109/JSAC.2023.3336159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179038846&doi=10.1109%2fJSAC.2023.3336159&partnerID=40&md5=697dda8ca012750cadd066e4c9580592","Institute of Informatics (INF), Universidade Federal de Goiás (UFG), Goiás, 74690-900, Brazil; University of Vale Do Rio Dos Sinos (UNISINOS), Applied Computing Graduate Program (PPGCA), São Leopoldo, 93022-750, Brazil; Federal Technological University of Paraná (UTFPR), Toledo, 85902-490, Brazil; At&t Shannon Labs, Bedminster, 07921, NJ, United States; Federal University of Parana (UFPR), Department of Informatics (DInf), Curitiba, 85902-490, Brazil","Almeida G.M., Institute of Informatics (INF), Universidade Federal de Goiás (UFG), Goiás, 74690-900, Brazil; Bruno G.Z., University of Vale Do Rio Dos Sinos (UNISINOS), Applied Computing Graduate Program (PPGCA), São Leopoldo, 93022-750, Brazil; Huff A., Federal Technological University of Paraná (UTFPR), Toledo, 85902-490, Brazil; Hiltunen M., At&t Shannon Labs, Bedminster, 07921, NJ, United States; Duarte E.P., Jr., Federal University of Parana (UFPR), Department of Informatics (DInf), Curitiba, 85902-490, Brazil; Both C.B., University of Vale Do Rio Dos Sinos (UNISINOS), Applied Computing Graduate Program (PPGCA), São Leopoldo, 93022-750, Brazil; Cardoso K.V., Institute of Informatics (INF), Universidade Federal de Goiás (UFG), Goiás, 74690-900, Brazil","The Radio Access Network (RAN) is the segment of cellular networks that provides wireless connectivity to end-users. The O-RAN Alliance has been transforming the RAN industry by proposing open RAN specifications and the programmable Non-Real-Time and Near-Real-Time RAN Intelligent Controllers (Non-RT RIC and Near-RT RIC). Both RICs provide platforms for running applications called rApps and xApps, respectively, to optimize the RAN behavior. We investigate the disaggregation of the Near-RT RIC into components that meet stringent latency requirements while presenting a cost-effective solution. For example, the O-RAN Signalling Storm Protection requires the Near-RT RIC to support end-to-end control loop latencies as low as 10 ms. We propose the novel RIC Orchestrator (RIC-O) that optimizes the deployment of the Near-RT RIC components across the cloud-edge continuum. Edge computing nodes often present limited resources and are expensive compared to cloud computing. Performance-critical components of Near-RT RIC and certain xApps should run at the edge while other components can run on the cloud. Furthermore, RIC-O employs an efficient strategy to react to sudden changes and re-deploy components dynamically. The proposal is evaluated both analytically and through real-world experiments in an extended Kubernetes deployment implementing RIC-O and the disaggregated Near-RT RIC.  © 1983-2012 IEEE.","English"
"Abreu D.P.; Velasquez K.; Curado M.; Monteiro E.","Abreu, David Perez (59291798200); Velasquez, Karima (36807256600); Curado, Marilia (22333434000); Monteiro, Edmundo (7102113849)","59291798200; 36807256600; 22333434000; 7102113849","Unlocking Efficiency in B5G Networks: The Need for Adaptive Service Function Chains","2024","10.1109/ICCCN61486.2024.10637552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203258733&doi=10.1109%2fICCCN61486.2024.10637552&partnerID=40&md5=133fb905237dd64903967edc89b09ed7","Instituto Pedro Nunes, Laboratory for Informatics and Systems, Coimbra, Portugal; University of Coimbra, CISUC, Department of Informatics Engineering, Coimbra, Portugal","Abreu D.P., Instituto Pedro Nunes, Laboratory for Informatics and Systems, Coimbra, Portugal, University of Coimbra, CISUC, Department of Informatics Engineering, Coimbra, Portugal; Velasquez K., University of Coimbra, CISUC, Department of Informatics Engineering, Coimbra, Portugal; Curado M., University of Coimbra, CISUC, Department of Informatics Engineering, Coimbra, Portugal; Monteiro E., University of Coimbra, CISUC, Department of Informatics Engineering, Coimbra, Portugal","Service Function Chains allow the dynamic generation of basic virtual network services in order to build more complex services. They constitute the basis of the flexibility support for 5G and Beyond 5G networks. In order to totally exploit their benefits, the Service Function Chains should adapt to specific user requirements and current network status. The existing mechanisms to compose and embed Service Function Chains mostly disregard energy metrics to guide their decisions, thus resulting in a lack of energy optimisation by network operators. This paper presents a revision of existing Service Function Chain composition and embedding approaches and a discussion of current and future research directions, focused on energy optimisation for adaptive Service Function Chains. Furthermore, an architecture to empower the green orchestration of adaptive Service Function Chains is also drafted.  © 2024 IEEE.","English"
"Papadopoulos K.; Papadimitriou P.","Papadopoulos, Konstantinos (16025720800); Papadimitriou, Panagiotis (13411139900)","16025720800; 13411139900","CLINT: Controller-Assisted Lightweight In-Band Network Telemetry","2024","10.1109/ACCESS.2024.3385674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189818032&doi=10.1109%2fACCESS.2024.3385674&partnerID=40&md5=1e49424e46422c579abd5ced81d23931","University of Macedonia, Department of Applied Informatics, Thessaloniki, 546 36, Greece","Papadopoulos K., University of Macedonia, Department of Applied Informatics, Thessaloniki, 546 36, Greece; Papadimitriou P., University of Macedonia, Department of Applied Informatics, Thessaloniki, 546 36, Greece","The increasing need for high-precision monitoring and network-wide observability has spurred significant interest in In-Band Network Telemetry (INT), which empowers the collection of monitoring data directly from the dataplane, thus, alleviating the various shortcomings of passive monitoring techniques. INT, in some of its initial forms (e.g., P4-INT), tends to accumulate per-hop telemetry values within each packet, introducing substantial transmission overhead. Recent efforts to alleviate this shortcoming spread per-hop telemetry values among multiple packets, but eventually cause other implications, such as INT data redundancy or collisions during state lookup, stemming from the probabilistic data structures that they employ. Along these lines, we stress on the need for a lightweight INT approach with deterministic behavior. To this end, we present a new INT approach (Controller-Assisted Lightweight In-Band Network Telemetry - CLINT) that relies on a telemetry controller for the coordination of INT nodes, through the update of telemetry states, which indicate at each instance the telemetry action that should be applied to each incoming packet. We discuss in detail the operation of CLINT, as well as its prototype implementation using P4 BMv2 and the P4Runtime API. Our evaluation results indicate that CLINT outperforms two state-of-the-art lightweight INT techniques (i.e., PINT and DLINT) in terms of monitoring efficiency and network update detection, while maintaining an insignificant control communication overhead.  © 2013 IEEE.","English"
"Dzeparoska K.; Beigi-Mohammadi N.; Tizghadam A.; Leon-Garcia A.","Dzeparoska, Kristina (57201978207); Beigi-Mohammadi, Nasim (56037065600); Tizghadam, Ali (9041233300); Leon-Garcia, Alberto (7005019883)","57201978207; 56037065600; 9041233300; 7005019883","Towards a Self-Driving Management System for the Automated Realization of Intents","2021","10.1109/ACCESS.2021.3129990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120082935&doi=10.1109%2fACCESS.2021.3129990&partnerID=40&md5=96cf9ecdad344bd09620c806f4bcabfa","Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; Department of Technology Strategy and Business Transformation, TELUS Communications Inc, Toronto, ON, Canada","Dzeparoska K., Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; Beigi-Mohammadi N., Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; Tizghadam A., Department of Technology Strategy and Business Transformation, TELUS Communications Inc, Toronto, ON, Canada; Leon-Garcia A., Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada","Network management faces the interrelated challenges of increasing network complexity, meeting sophisticated business requirements, and being subject to human oversight. Self-driving networks possess the key properties to overcome such challenges. We present and implement a management system that addresses several elements of a self-driving network. Our system leverages intents, a policy-based paradigm and autonomic control loops. Intent-based networking allows us to formalize how an intent can be provided as input to a control loop, and how the complexities can be abstracted from the user. To realize and assure the intent, autonomic networking enables us to create Monitor-Analyze-Plan-Execute (MAPE) loops. Finally, we execute the control loops using a policy-based approach. We propose a policy abstraction to support requirements at different levels of abstraction, and an Application Programming Interface (API) layer to reduce management complexity from the user perspective. We propose a formal policy information model to model policies across layers of abstractions and to support simplified mapping and strong consistencies among various policy abstraction levels. We have implemented our proposal and present a proof-of-concept use-case to showcase the intent refinement. © 2013 IEEE.","English"
"Cinemre I.; Mehmood K.; Kralevska K.; Mahmoodi T.","Cinemre, Idris (57224202682); Mehmood, Kashif (57224546008); Kralevska, Katina (55321893400); Mahmoodi, Toktam (24473403200)","57224202682; 57224546008; 55321893400; 24473403200","Direct-Conflict Resolution in Intent-Driven Autonomous Networks","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187911121&partnerID=40&md5=de463612aa6b7f7d188c5f45bf7d6ab5","Dept. of Engineering, King's College London, London, United Kingdom; Dept. of Information Security and Communication Technology, Norwegian University of Science and Technology (NTNU), Trondheim, Norway","Cinemre I., Dept. of Engineering, King's College London, London, United Kingdom; Mehmood K., Dept. of Information Security and Communication Technology, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Kralevska K., Dept. of Information Security and Communication Technology, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Mahmoodi T., Dept. of Engineering, King's College London, London, United Kingdom","As network systems evolve, there is an escalating demand for automated tools to facilitate efficient management and configuration. This paper explores conflict resolution in Intent-Based Network (IBN) management, an innovative approach that holds promise for effective network administration, especially within radio access domain. Nevertheless, when multiple intents are in operation concurrently, conflicts may emerge, presenting a significant issue that remains under-addressed in the current literature. In response to this challenge, our research expands the range of conflict resolution strategies beyond the established Nash Bargaining Solution (NBS), to incorporate the Weighted Nash Bargaining Solution (WNBS), the Kalai-Smorodinsky Bargaining Solution (KSBS), and the Shannon Entropy Bargaining Solution (SEBS). These methods are employed with the objective to identify optimal parameter values, aiming to ensure fairness in conflict resolution. Through simulations, it is demonstrated that distinct antenna tilt values are yielded as the respective solutions for each method. Ultimately, based on Jain's Fairness Index, the KSBS is identified as the most equitable method under the given conditions. © VDE VERLAG GMBH - Berlin - Offenbach.","English"
"Kajo M.; Schultz B.; Carle G.","Kajo, Marton (57193013660); Schultz, Benedek (55256630000); Carle, Georg (11441022800)","57193013660; 55256630000; 11441022800","Deep Clustering of Mobile Network Data with Sparse Autoencoders","2020","10.1109/NOMS47738.2020.9110262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086760724&doi=10.1109%2fNOMS47738.2020.9110262&partnerID=40&md5=06d82e757c13e12cbdec2fa63eed05f2","Technical University of Munich, Department of Informatics, Germany; Nokia Bell Labs, United States","Kajo M., Technical University of Munich, Department of Informatics, Germany; Schultz B., Nokia Bell Labs, United States; Carle G., Technical University of Munich, Department of Informatics, Germany","Unsupervised machine learning methods, such as clustering algorithms could be powerful tools for automation. By simplifying data through structuring, these algorithms can help network management use-cases where autonomous agency or elevated levels of cognition is required. Recent developments in deep learning allow clustering algorithms to gain unprecedented insight into the data, creating meaningful clusters as a result. In this paper, we propose a Sparse Clustering Autoencoder, capable of autonomously encoding cell behavior into a graph-like representation we call Network State Transition Graphs. We compare our proposed algorithm against other deep learning-based clustering algorithms, and demonstrate its utility on data from a real, large-scale mobile network deployment. © 2020 IEEE.","English"
"Xu Y.; Ni H.; Zhu X.","Xu, Yong (57253393000); Ni, Hong (16319494500); Zhu, Xiaoyong (57199707287)","57253393000; 16319494500; 57199707287","A Novel Multipath Transmission Scheme for Information-Centric Networking","2023","10.3390/fi15020080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148877559&doi=10.3390%2ffi15020080&partnerID=40&md5=e6d7d8470f092fa7e3d6cc152a37caac","National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, No. 21, North Fourth Ring Road, Haidian District, Beijing, 100190, China; School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, No. 19(A), Yuquan Road, Shijingshan District, Beijing, 100049, China","Xu Y., National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, No. 21, North Fourth Ring Road, Haidian District, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, No. 19(A), Yuquan Road, Shijingshan District, Beijing, 100049, China; Ni H., National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, No. 21, North Fourth Ring Road, Haidian District, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, No. 19(A), Yuquan Road, Shijingshan District, Beijing, 100049, China; Zhu X., National Network New Media Engineering Research Center, Institute of Acoustics, Chinese Academy of Sciences, No. 21, North Fourth Ring Road, Haidian District, Beijing, 100190, China, School of Electronic, Electrical and Communication Engineering, University of Chinese Academy of Sciences, No. 19(A), Yuquan Road, Shijingshan District, Beijing, 100049, China","Due to the overload of IP semantics, the traditional TCP/IP network has a number of problems in scalability, mobility, and security. In this context, information-centric networking (ICN) is proposed to solve these problems. To reduce the cost of deployment and smoothly evolve, the ICN architecture needs to be compatible with existing IP infrastructure. However, the rigid underlying IP routing regulation limits the data transmission efficiency of ICN. In this paper, we propose a novel multipath transmission scheme by utilizing the characteristics and functions of ICN to enhance data transmission. The process of multipath transmission can be regarded as a service, and a multipath transmission service ID (MPSID) is assigned. By using the ICN routers bound to the MPSID as relay nodes, multiple parallel paths between the data source and the receiver are constructed. Moreover, we design a path management mechanism, including path selection and path switching. It can determine the initial path based on historical transmission information and switch to other optimal paths according to the congestion degree during transmission. The experimental results show that our proposed method can improve the average throughput and reduce the average flow completion time and the average chunk completion time. © 2023 by the authors.","English"
"Kong Y.; Petrov D.; Raisanen V.; Ilin A.","Kong, Yangzhe (57233968500); Petrov, Dmitry (57216619921); Raisanen, Vilho (6603767293); Ilin, Alexander (6701756058)","57233968500; 57216619921; 6603767293; 6701756058","Path-Link Graph Neural Network for IP Network Performance Prediction","2021","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113602999&partnerID=40&md5=1bce099c232b6a4779e3abf90a81ec57","Aalto University, Espoo, Finland; Nokia Bell Labs, Espoo, Finland","Kong Y., Aalto University, Espoo, Finland, Nokia Bell Labs, Espoo, Finland; Petrov D., Nokia Bell Labs, Espoo, Finland; Raisanen V., Nokia Bell Labs, Espoo, Finland; Ilin A., Aalto University, Espoo, Finland","Dynamic resource provisioning and quality assurance for the plethora of end-to-end slices running over 5G and B5G networks require advanced modeling capabilities. Graph Neural Networks (GNN) have already proven their efficiency for network performance prediction. GNN architecture matches well the structures usually met in communications networks. In this paper, the focus is on the IP transport network as one of the end-to-end 5G architecture domains. The recently published RouteNet GNN is taken as a reference and starting point for our study. RouteNet performance is verified by a new implementation in the PyTorch ML library. Next, an alternative Path-Link neural network (PLNet) architecture is proposed and evaluated. After hyper-parameter tuning for both models, the results show that PLNet and RouteNet achieve a similar accuracy level. The advantage of PLNet is in parallel architecture. It is demonstrated that its inference speed is not sensitive to the length of the network's paths. © 2021 IFIP.","English"
"Daher T.; Jemaa S.B.","Daher, Tony (57195636579); Jemaa, Sana Ben (16175202400)","57195636579; 16175202400","Contextual Bandit for Cognitive Management of Self-Organizing Networks","2021","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113684457&partnerID=40&md5=c3857d722b4fdaf69d1fb0203e5cbd86","Orange Labs, Chatillon, France","Daher T., Orange Labs, Chatillon, France; Jemaa S.B., Orange Labs, Chatillon, France","Self-Organizing Networks (SON) concept is a technology that aims to improve the management and operation of mobile networks, through automatic configuration of network parameters. Even though SON functions are able to change network parameters automatically, the algorithms that run inside these functions still rely on parameters and rules that are manually defined by the operator, depending on its objectives. Thus, in order to realize a network that is self-organized as a whole, there is a clear need for a higher-level management entity that automatically translates operator objectives into SON configurations. In previous works, we have already studied and proposed an intelligent integrated management solution empowered with Reinforcement Learning (RL), namely the Cognitive Policy Based SON Management (C-PBSM).The C-PBSM is able to learn optimal SON configurations through direct interaction with the network. In this paper, we address crucial aspects of the mentioned approach, namely adaptability with different and varying network environments, transferability of the knowledge and the speed of convergence. We argue that the C-PBSM has major limitations with respect to these aspects. We consequently propose a context aware C-PBSM show that it is able to overcome the limitations of the C-PBSM. © 2021 IFIP.","English"
"Mendoza C.; McGarry M.P.","Mendoza, Christopher (57206898269); McGarry, Michael P. (7006361164)","57206898269; 7006361164","Determining Most Likely Links (MLL) for Network Fault Localization","2023","10.1109/OJCOMS.2023.3244684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149402154&doi=10.1109%2fOJCOMS.2023.3244684&partnerID=40&md5=7c76351c924bd13f8caeb560d7c28055","University of Texas at El Paso, Department of Electrical and Computer Engineering, El Paso, 79968, TX, United States","Mendoza C., University of Texas at El Paso, Department of Electrical and Computer Engineering, El Paso, 79968, TX, United States; McGarry M.P., University of Texas at El Paso, Department of Electrical and Computer Engineering, El Paso, 79968, TX, United States","We propose and evaluate a technique that learns the probability of a network transmission link experiencing a fault by using outlier flows (in the performance sense) as training data. This technique autonomously determines the most likely links causing performance degradation in a communications network; a critical feature of zero-touch network management. Our new Network Link Outlier Factor (NLOF) with most likely links (NLOF:MLL) is experimentally compared to the existing literature (including our original NLOF) using classification performance measures: recall, precision, F1 -score, and time-to-detection. We utilize inferential statistics and a wide set of Mininet experiments to determine statistically significant performance differences. We find that our NLOF:MLL outperforms the existing literature wrt the important F1 -score while exhibiting a competitive time-to-detection.  © 2020 IEEE.","English"
"Ustok R.F.; Cihat Baktir A.; Biyar E.D.","Ustok, Refik Fatih (35103740600); Cihat Baktir, Ahmet (56042827300); Biyar, Elham Dehghan (57192159724)","35103740600; 56042827300; 57192159724","Asset Administration Shell as an Enabler of Intent-Based Networks for Industry 4.0 Automation","2022","10.1109/ETFA52439.2022.9921446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141440384&doi=10.1109%2fETFA52439.2022.9921446&partnerID=40&md5=5077766ab75746b454c909ae7251b2fe","Ericsson Research, Istanbul, Turkey","Ustok R.F., Ericsson Research, Istanbul, Turkey; Cihat Baktir A., Ericsson Research, Istanbul, Turkey; Biyar E.D., Ericsson Research, Istanbul, Turkey","The factory operators lack 3GPP network knowledge and there is a requirement for industrial 5G networks to enable zero-touch automation which will translate factory business expectations to technical expectations. Integrating the intent-based operations is a key approach to implement intelligent network management system which can automatically verify, deploy, configure and optimize itself to meet the targets and goals. However, there is still a need for human intervention (e.g., factory operators) to place the intents. In this paper, we propose a solution based on Asset Administration Shell (AAS) to implement digital twins of the 5G network and 5G-capable factory devices. The proposed solution approach implements necessary submodels in AAS instances, so that the factory devices can place their own intents with minimized manual intervention. This framework is implemented and demonstrated with an automation system in conjunction with a 5G emulation environment.  © 2022 IEEE.","English"
